Id,Name,Description,Category,Density,ECI_A1A3
2010,Cement - Average UK additions,"Mixture taken from average UK sector cement EPD S-P-05825.  87.34% clinker, 5.05% gypsum, 5.21% Limestone, 2.4% MAC. By weight.  Estimated from ICE Cement, Mortar, Concrete model.",Cement,1440,0.8123
2011,Cement CEM I - Portland cement,"CEM I is a 'pure' cement, Ordinary Portland Cement (OPC). Mixture taken from typical UK CEM I EPD S-P-05824.  90.8% clinker, 5.0% gypsum, 4.0% Limestone, 0.2% MAC. By weight. Estimated from ICE Cement, Mortar, Concrete model.",Cement,1440,0.8398
2012,Cement CEM II-A-S - 13% GGBS - Portland-slag cement,"This cement permits between 6-20% ggbs Estimated from ICE Cement, Mortar, Concrete model.",Cement,1440,0.74467887
2013,Cement CEM II/B-S - 28% GGBS - Portland-slag cement,"This cement permits between 21-35% ggbs Estimated from ICE Cement, Mortar, Concrete model.",Cement,1440,0.63007872
2014,Cement CEM II/A-P - 13% natural pozzolanic ash - Portland-pozzolana cement,"This cement permits between 6-20% natural pozzolanic ash Estimated from ICE Cement, Mortar, Concrete model.",Cement,1440,0.734851377
2015,Cement CEM II/B-P 28% natural pozzolanic ash - Portland-pozzolana cement,"This cement permits between 21-35% natural pozzolanic ash Estimated from ICE Cement, Mortar, Concrete model.",Cement,1440,0.608911812
2016,Cement CEM II/A-V - 13% fly ash siliceous - Portland-fly ash cement,"This cement permits between 6-20% siliceous fly ash Estimated from ICE Cement, Mortar, Concrete model.",Cement,1440,0.73480173
2017,Cement CEM II/B-V - 28% fly ash siliceous - Portland-fly ash cement,"This cement permits between 21-35% siliceous fly ash Estimated from ICE Cement, Mortar, Concrete model.",Cement,1440,0.60880488
2018,Cement CEM II/A-W - 13% fly ash calcareous - Portland-fly ash cement,"This cement permits between 6-20% calcareous fly ash Estimated from ICE Cement, Mortar, Concrete model.",Cement,1440,0.73480173
2019,Cement CEM II/B-W - 28% fly ash calcareous - Portland-fly ash cement,"This cement permits between 21-35% calcareous fly ash Estimated from ICE Cement, Mortar, Concrete model.",Cement,1440,0.60880488
2020,Cement CEM II/A-L - 13% limestone - Portland-limestone cement,"This cement permits between 6-20% limestone Estimated from ICE Cement, Mortar, Concrete model.",Cement,1440,0.736339481
2021,Cement CEM II/B-L- 28% limestone - Portland-limestone cement,"This cement permits between 21-35% limestone Estimated from ICE Cement, Mortar, Concrete model.",Cement,1440,0.612116958
2022,Cement CEM II/A-LL - 13% limestone - Portland-limestone cement,"This cement permits between 6-20% limestone Estimated from ICE Cement, Mortar, Concrete model.",Cement,1440,0.736339481
2023,Cement CEM II/B-LL - 28% limestone - Portland-limestone cement,"This cement permits between 21-35% limestone Estimated from ICE Cement, Mortar, Concrete model.",Cement,1440,0.612116958
2024,Cement CEM II/A-M - 16% cement replacement - Portland-composite cement,"This cement permits between 12-20% cement replacements Estimated from ICE Cement, Mortar, Concrete model.",Cement,1440,0.7156806
2025,Cement CEM II/B-M - 28% cement replacement- Portland-composite cement,"This cement permits between 21-35% cement replacements Estimated from ICE Cement, Mortar, Concrete model.",Cement,1440,0.6194418
2026,Cement CEM III/A - 50.5% GGBS - Blast furnace cement,"This cement permits between 36-65% ggbs Estimated from ICE Cement, Mortar, Concrete model.",Cement,1440,0.458178495
2027,Cement CEM III/B - 73% GGBS - Blast furnace cement,"This cement permits between 66-80% ggbs Estimated from ICE Cement, Mortar, Concrete model.",Cement,1440,0.28627827
2028,Cement CEM III/C - 88% GGBS - Blast furnace cement,"This cement permits between 81-95% ggbs Estimated from ICE Cement, Mortar, Concrete model.",Cement,1440,0.17167812
2029,Cement CEM IV/A - 23% cement replacement - Pozzolanic cement,"This cement permits between 11-35% pozzolanic materials, e.g. fly ash, pozzolanic ash. Estimated from ICE Cement, Mortar, Concrete model.",Cement,1440,0.65080383
2030,Cement CEM IV/B - 46% cement replacement - Pozzolanic cement,"This cement permits between 38-55% pozzolanic materials, e.g. fly ash, pozzolanic ash. Estimated from ICE Cement, Mortar, Concrete model.",Cement,1440,0.461808555
2031,Cement CEM V/A - 24% GGBS and 24% cement replacement - Composite cement,"This cement permits between 18-30% ggbs and 18-30% pozzolanic materials.  Estimated from ICE Cement, Mortar, Concrete model.",Cement,1440,0.460100256
2032,Cement CEM V/B - 36% GGBS and 36% cement replacement - Composite cement,"This cement permits between 31-49% ggbs and 31-49% pozzolanic materials.  Estimated from ICE Cement, Mortar, Concrete model.",Cement,1440,0.276148775
2033,Mortar or screed (1:3 cement:sand mix) (Using CEM I cement),"With CEM I cement (Ordinary Portland Cement, OPC). ",Cement,2100,0.184756157
2034,Mortar or screed (1:4 cement:sand mix) (Using CEM I cement),"With CEM I cement (Ordinary Portland Cement, OPC). ",Cement,2100,0.150744424
2035,Mortar or screed (1:5 cement:sand mix) (Using CEM I cement),"With CEM I cement (Ordinary Portland Cement, OPC). ",Cement,2100,0.127682143
2036,Mortar or screed (1:6 cement:sand mix) (Using CEM I cement),"With CEM I cement (Ordinary Portland Cement, OPC). ",Cement,2100,0.111014948
2037,Mortar (1:½:4½ Cement:Lime:Sand mix) (Using CEM I cement),"With CEM I cement (Ordinary Portland Cement, OPC). ",Cement,2100,0.158246486
2038,Mortar (1:1:6 Cement:Lime:Sand mix) (Using CEM I cement),"With CEM I cement (Ordinary Portland Cement, OPC). ",Cement,2100,0.143406354
2039,Mortar (1:2:9 Cement:Lime:Sand mix) (Using CEM I cement),"With CEM I cement (Ordinary Portland Cement, OPC). ",Cement,2100,0.127333824
2040,Mortar or screed (1:3 cement:sand mix) (Using average UK Cement Mix),"With average UK cement mixture (87.34% clinker, 5.05% gypsum, 5.21% Limestone, 2.4% MACs. By weight.)",Cement,2100,0.178880786
2041,Mortar or screed (1:4 cement:sand mix) (Using average UK Cement Mix),"With average UK cement mixture (87.34% clinker, 5.05% gypsum, 5.21% Limestone, 2.4% MACs. By weight.)",Cement,2100,0.145996223
2042,Mortar or screed (1:5 cement:sand mix) (Using average UK Cement Mix),"With average UK cement mixture (87.34% clinker, 5.05% gypsum, 5.21% Limestone, 2.4% MACs. By weight.)",Cement,2100,0.123698239
2043,Mortar or screed (1:6 cement:sand mix) (Using average UK Cement Mix),"With average UK cement mixture (87.34% clinker, 5.05% gypsum, 5.21% Limestone, 2.4% MACs. By weight.)",Cement,2100,0.107583406
2044,Mortar or screed (1:½:4½ Cement:Lime:Sand mix) (Using average UK Cement Mix),"With average UK cement mixture (87.34% clinker, 5.05% gypsum, 5.21% Limestone, 2.4% MACs. By weight.)",Cement,2100,0.154029233
2045,Mortar (1:1:6 Cement:Lime:Sand mix) (Using average UK Cement Mix),"With average UK cement mixture (87.34% clinker, 5.05% gypsum, 5.21% Limestone, 2.4% MACs. By weight.)",Cement,2100,0.140117317
2046,Mortar (1:2:9 Cement:Lime:Sand mix) (Using average UK Cement Mix),"With average UK cement mixture (87.34% clinker, 5.05% gypsum, 5.21% Limestone, 2.4% MACs. By weight.)",Cement,2100,0.125050087
2047,"Concrete, average UK mix","It is strongly recommended to avoid selecting a 'general' value for concrete. Selecting data for a specific cement content in the concrete type will give much greater accuracy.  Data from EPD-RMC-20180095-CBG1-EN, for average UK concrete, produced by the British Ready-Mixed Concrete Association (BRMCA) part of the Mineral Products Association (MPA). Concrete mixture is 200kg CEM I, 95 kg ggbs, 15 kg fly ash, 1915kg aggregate, 139 kg water and 1.55 kg admixture.  ",Concrete,2380,246
2048,Concrete GEN0 with CEM I cement,"Assumed 150 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2370,154.6515339
2049,Concrete GEN1 with CEM I cement,"Assumed 220 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2370,212.9765833
2050,Concrete GEN 2 with CEM I cement,"Assumed 240 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2370,229.9204379
2051,Concrete GEN 3 with CEM I cement,"Assumed 260 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2370,246.721689
2052,Concrete RC20/25 with CEM I cement,"Assumed 285 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2400,268.0960189
2053,Concrete RC25/30 with CEM I cement,"Assumed 305 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2400,284.9799745
2054,Concrete RC28/35 with CEM I cement,"Assumed 325 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2400,301.7930405
2055,Concrete RC32/40 with CEM I cement,"Assumed 360 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2400,331.1568313
2056,Concrete RC35/45 with CEM I cement,"Assumed 390 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2400,356.3114481
2057,Concrete RC40/50 with CEM I cement,"Assumed 420 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2400,381.5204137
2058,Concrete PAV1 with CEM I cement,"Assumed 325 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2400,301.7841793
2059,Concrete PAV2 with CEM I cement,"Assumed 360 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2400,331.1662833
2060,Concrete GEN0 with 15% PFA cement,"Assumed 157 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2370,140.4059029
2061,Concrete GEN1 with 15% PFA cement,"Assumed 233 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2370,194.0781204
2062,Concrete GEN 2 with 15% PFA cement,"Assumed 256 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2370,210.61609
2063,Concrete GEN 3 with 15% PFA cement,"Assumed 277 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2370,225.818629
2064,Concrete RC20/25 with 15% PFA cement,"Assumed 304 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2390,245.156437
2065,Concrete RC25/30 with 15% PFA cement,"Assumed 325 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2390,260.5335433
2066,Concrete RC28/35 with 15% PFA cement,"Assumed 350 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2390,278.3814398
2067,Concrete RC32/40 with 15% PFA cement,"Assumed 390 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2390,306.8814502
2068,Concrete RC35/45 with 15% PFA cement,"Assumed 419 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2390,327.6794501
2069,Concrete RC40/50 with 15% PFA cement,"Assumed 452 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2390,350.626888
2070,Concrete PAV1 with 15% PFA cement,"Assumed 349 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2390,277.9269785
2071,Concrete PAV2 with 15% PFA cement,"Assumed 391 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2390,307.3185221
2072,Concrete GEN0 with 30% PFA cement,"Assumed 164 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2370,124.450852
2073,Concrete GEN1 with 30% PFA cement,"Assumed 245 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2370,172.0305803
2074,Concrete GEN 2 with 30% PFA cement,"Assumed 271 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2370,187.3702983
2075,Concrete GEN 3 with 30% PFA cement,"Assumed 294 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2370,200.6456716
2076,Concrete RC20/25 with 30% PFA cement,"Assumed 322 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2380,217.5473343
2077,Concrete RC25/30 with 30% PFA cement,"Assumed 345 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2380,231.04041
2078,Concrete RC28/35 with 30% PFA cement,"Assumed 375 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2380,248.662587
2079,Concrete RC32/40 with 30% PFA cement,"Assumed 420 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2380,275.0367778
2080,Concrete RC35/45 with 30% PFA cement,"Assumed 449 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2380,291.6607008
2081,Concrete RC40/50 with 30% PFA cement,"Assumed 483 kg total cementitious content per m3 concrete. Estimated from ICE Cement, Mortar, Concrete model with an estimate of realistic cement contents, not minimum cement contents. More cement is often added into a mixture, e.g. to cure quicker. Concrete has a wide variation of cement contents for the same strength class of concrete. This adds additional uncertainty to this data by strength class. There is no substitute for finding out the actual cement content used in a mixture (not specified min cement content - actual cement content used by the contractor). The cement content for your mixture at this strength class might be a very different value than assumed here.",Concrete,2380,311.7672344
